StatisticMeasure	SVM(BoW)	Random Forest(BoW)	SVM(SVD)	Random Forest(SVD)	SVM(W2V)	Random Forest(W2V)	MyMethod
Accuracy	0.85	0.79	0.94	0.55	0.40	0.36	0.96
Precision	0.86	0.72	0.94	0.59	0.42	0.33	0.96
Recall	0.85	0.79	0.94	0.55	0.40	0.36	0.96
F-Measure	0.85	0.76	0.94	0.57	0.41	0.35	0.96
